Type,Goal_Name,Goal_Description,Goal_Start_Date,Goal_End_Date,Task_Name,Task_Description,Task_Start_Date,Task_End_Date,Task_Estimated_Time,Task_Estimated_Cost,Task_Technical_Needs,Task_Weather_Conditions,Task_Needs_Rental,Task_Rental_Item,Task_Rental_Type,Task_Rental_Duration,Task_Rental_Cost_Per_Unit,Task_Total_Rental_Cost,Task_Personnel_Count,Task_Other_Needs,Archive_Year,Archive_Date
Goal,Plan Annual Conference,Plan Annual Conference,2024-12-20,2025-02-10,,,,,0,0.0,Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,2024,2024-12-17
Task,Plan Annual Conference,Plan Annual Conference,2024-12-20,2025-02-10,Secure Venue,Secure Venue,2024-12-20,2024-12-27,3,2000.0,Traktor - Snöblad,Soligt,True,Conference Hall,Timmar,7,50000.0,35000.0,5,Prepare venue for seating,2024,2024-12-17
Task,Plan Annual Conference,Plan Annual Conference,2024-12-20,2025-02-10,Arrange Catering,Arrange Catering,2024-12-27,2024-12-30,2,1500.0,Inga Redskap Behövs,Soligt,False,No data,No data,0,400.0,450.0,3,Ensure vegetarian options,2024,2024-12-17
Task,Plan Annual Conference,Plan Annual Conference,2024-12-20,2025-02-10,Prepare Agenda,Prepare Agenda,2024-12-30,2025-01-05,5,0.0,Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,2,Coordinate with keynote speakers,2024,2024-12-17
Task,Plan Annual Conference,Plan Annual Conference,2024-12-20,2025-02-10,Print Materials,Print Materials,2025-01-06,2025-01-09,2,500.0,Elverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,1,Design posters,2024,2024-12-17
Goal,Launch New Product Line,Launch New Product Line,2024-12-15,2025-03-15,,,,,0,0.0,Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,2024,2024-12-17
Task,Launch New Product Line,Launch New Product Line,2024-12-15,2025-03-15,Market Research,Market Research,2024-12-15,2025-01-15,10,2000.0,Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,4,Analyze competition,2024,2024-12-17
Task,Launch New Product Line,Launch New Product Line,2024-12-15,2025-03-15,Develop Prototype,Develop Prototype,2025-01-16,2025-02-15,20,5000.0,Handverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,10,Test quality standards,2024,2024-12-17
Task,Launch New Product Line,Launch New Product Line,2024-12-15,2025-03-15,Marketing Campaign,Marketing Campaign,2025-02-16,2025-03-10,15,3000.0,Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,6,Prepare online ads,2024,2024-12-17
Goal,Plan Annual Conference,Plan Annual Conference,2023-12-20,2024-02-10,,,,,0,0.0,Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,2023,2023-12-17
Task,Plan Annual Conference,Plan Annual Conference,2023-12-20,2024-02-10,Secure Venue,Secure Venue,2023-12-20,2023-12-27,3,2000.0,Traktor - Snöblad,Soligt,True,Conference Hall,Timmar,7,500.0,3500.0,5,Prepare venue for seating,2023,2023-12-17
Task,Plan Annual Conference,Plan Annual Conference,2023-12-20,2024-02-10,Arrange Catering,Arrange Catering,2023-12-27,2023-12-30,2,1500.0,Inga Redskap Behövs,Soligt,False,No data,No data,0,0.0,0.0,3,Ensure vegetarian options,2023,2023-12-17
Task,Plan Annual Conference,Plan Annual Conference,2023-12-20,2024-02-10,Prepare Agenda,Prepare Agenda,2023-12-30,2024-01-05,5,0.0,Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,2,Coordinate with keynote speakers,2023,2023-12-17
Task,Plan Annual Conference,Plan Annual Conference,2023-12-20,2024-02-10,Print Materials,Print Materials,2024-01-06,2024-01-09,2,500.0,Elverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,1,Design posters,2023,2023-12-17
Goal,Launch New Product Line,Launch New Product Line,2023-12-15,2024-03-15,,,,,0,0.0,Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,2024,2024-12-17
Task,Launch New Product Line,Launch New Product Line,2023-12-15,2024-03-15,Market Research,Market Research,2023-12-15,2024-01-15,10,2000.0,Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,4,Analyze competition,2023,2023-12-17
Task,Launch New Product Line,Launch New Product Line,2023-12-15,2024-03-15,Develop Prototype,Develop Prototype,2024-01-16,2024-02-15,20,5000.0,Handverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,10,Test quality standards,2023,2023-12-17
Task,Launch New Product Line,Launch New Product Line,2023-12-15,2024-03-15,Marketing Campaign,Marketing Campaign,2024-02-16,2024-03-10,15,3000.0,Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,6,Prepare online ads,2023,2023-12-17
