Type,Goal_Name,Goal_Description,Goal_Start_Date,Goal_End_Date,Goal_Completed,Task_Name,Task_Description,Task_Start_Date,Task_End_Date,Task_Estimated_Time,Task_Estimated_Cost,Task_Technical_Needs,Task_Weather_Conditions,Task_Needs_Rental,Task_Rental_Item,Task_Rental_Type,Task_Rental_Duration,Task_Rental_Cost_Per_Unit,Task_Total_Rental_Cost,Task_Personnel_Count,Task_Other_Needs,Task_Completed
Goal,Plan Annual Conference,Plan Annual Conference,2024-12-19,2025-02-11,True,,,,,0,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,False
Task,Plan Annual Conference,Plan Annual Conference,2024-12-20,2025-02-10,False,Secure Venue,Secure Venue,2024-12-20,2024-12-27,3,2000.0,Traktor - Snöblad,Soligt,True,Conference Hall,Timmar,7,500.0,3500.0,5,Prepare venue for seating twice,True
Task,Plan Annual Conference,Plan Annual Conference,2024-12-20,2025-02-10,False,Arrange Catering,Arrange Catering,2024-12-27,2024-12-30,2,1500.0,Inget - Inga Redskap Behövs,Soligt,False,No data,No data,0,0.0,0.0,3,Ensure vegetarian options,True
Task,Plan Annual Conference,Plan Annual Conference,2024-12-20,2025-02-10,False,Prepare Agenda,Prepare Agenda,2024-12-30,2025-01-05,5,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,2,Coordinate with keynote speakers,True
Task,Plan Annual Conference,Plan Annual Conference,2024-12-20,2025-02-10,False,Print Materials,Print Materials,2025-01-06,2025-01-09,2,500.0,Elverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,1,Design posters,True
Goal,Launch New Product Line,Launch New Product Line,2024-12-15,2025-03-15,True,,,,,0,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,False
Task,Launch New Product Line,Launch New Product Line,2024-12-15,2025-03-15,False,Market Research,Market Research,2024-12-15,2025-01-15,10,2000.0,Fyrhjuling - Snöblad,No data,False,No data,No data,0,0.0,0.0,4,Analyze competition,True
Task,Launch New Product Line,Launch New Product Line,2024-12-15,2025-03-15,False,Develop Prototype,Develop Prototype,2025-01-16,2025-02-15,20,5000.0,Handverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,10,Test quality standards,True
Task,Launch New Product Line,Launch New Product Line,2024-12-15,2025-03-15,False,Marketing Campaign,Marketing Campaign,2025-02-16,2025-03-10,15,3000.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,6,Prepare online ads,True
Goal,Community Sports Event,Community Sports Event,2025-01-01,2025-03-31,False,,,,,0,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,False
Task,Community Sports Event,Community Sports Event,2025-01-01,2025-03-31,False,Book Field,Book Field,2025-01-01,2025-01-05,2,1000.0,Övrigt - Gräsklippare,Soligt,True,Sports Field,Dygn,3,200.0,600.0,3,Inspect lighting,False
Task,Community Sports Event,Community Sports Event,2025-01-01,2025-03-31,False,Organize Teams,Organize Teams,2025-01-06,2025-01-20,5,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,2,Coordinate participants,True
Task,Community Sports Event,Community Sports Event,2025-01-01,2025-03-31,False,Buy Equipment,Buy Equipment,2025-01-10,2025-01-15,3,1500.0,Elverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,2,Ensure safety standards,False
Task,Community Sports Event,Community Sports Event,2025-01-01,2025-03-31,False,Arrange Refreshments,Arrange Refreshments,2025-01-16,2025-01-18,2,500.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,2,Organize tables for snacks,True
Goal,Office Relocation,Office Relocation,2024-12-18,2025-01-30,False,,,,,0,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,False
Task,Office Relocation,Office Relocation,2024-12-18,2025-01-30,False,Find New Office,Find New Office,2024-12-18,2024-12-25,5,2000.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,3,Assess locations,True
Task,Office Relocation,Office Relocation,2024-12-18,2025-01-30,False,Organize Moving Team,Organize Moving Team,2024-12-26,2025-01-10,10,1000.0,Traktor - Schaktblad,No data,True,Truck,Dygn,5,300.0,1500.0,8,Coordinate packing schedule,False
Task,Office Relocation,Office Relocation,2024-12-18,2025-01-30,False,Install Equipment,Install Equipment,2025-01-11,2025-01-20,7,1500.0,Handverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,4,Test connectivity,True
